
> my-project@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.30.251:3000
- Environments: .env
✓ Ready in 993ms

○ Compiling /kontak ...
 GET /api/records/gallery-content 200 in 1453ms (next.js: 398ms, proxy.ts: 156ms, application-code: 899ms)
 GET /api/records/media-library 200 in 1401ms (next.js: 665ms, proxy.ts: 59ms, application-code: 677ms)
 GET /api/records/system-settings 200 in 897ms (next.js: 124ms, proxy.ts: 747ms, application-code: 26ms)
 GET /api/records/admin-inbox 200 in 895ms (next.js: 107ms, proxy.ts: 763ms, application-code: 25ms)
 GET /api/records/access-permissions 200 in 210ms (next.js: 121ms, proxy.ts: 69ms, application-code: 19ms)
 GET /api/records/notifications 200 in 191ms (next.js: 106ms, proxy.ts: 62ms, application-code: 23ms)
 GET /api/records/maintenance-mode 200 in 398ms (next.js: 119ms, proxy.ts: 54ms, application-code: 225ms)
 GET /api/users 200 in 510ms (next.js: 56ms, proxy.ts: 124ms, application-code: 329ms)
 GET /api/records/activity-log 200 in 485ms (next.js: 187ms, proxy.ts: 128ms, application-code: 170ms)
 GET /api/records/homepage-content 200 in 891ms (next.js: 134ms, proxy.ts: 56ms, application-code: 701ms)
 GET /api/auth/me 200 in 652ms (next.js: 94ms, proxy.ts: 138ms, application-code: 420ms)
 GET /api/records/popup-announcements 200 in 795ms (next.js: 636ms, proxy.ts: 76ms, application-code: 82ms)
 GET /api/records/media-library 200 in 403ms (next.js: 153ms, proxy.ts: 103ms, application-code: 147ms)
 GET /api/records/admin-inbox 200 in 411ms (next.js: 206ms, proxy.ts: 102ms, application-code: 103ms)
 GET /api/records/access-permissions 200 in 397ms (next.js: 221ms, proxy.ts: 98ms, application-code: 77ms)
 GET /api/records/gallery-content 200 in 725ms (next.js: 132ms, proxy.ts: 109ms, application-code: 484ms)
 GET /api/records/maintenance-mode 200 in 676ms (next.js: 198ms, proxy.ts: 135ms, application-code: 343ms)
 GET /api/records/activity-log 200 in 622ms (next.js: 456ms, proxy.ts: 139ms, application-code: 27ms)
 GET /api/auth/me 200 in 483ms (next.js: 209ms, proxy.ts: 244ms, application-code: 29ms)
 GET /api/records/admin-inbox 200 in 533ms (next.js: 114ms, proxy.ts: 384ms, application-code: 35ms)
 GET /api/records/access-permissions 200 in 187ms (next.js: 79ms, proxy.ts: 92ms, application-code: 16ms)
 GET /api/records/activity-log 200 in 174ms (next.js: 81ms, proxy.ts: 59ms, application-code: 34ms)
 GET /api/records/maintenance-mode 200 in 300ms (next.js: 82ms, proxy.ts: 46ms, application-code: 173ms)
 GET /api/records/admin-inbox 200 in 236ms (next.js: 165ms, proxy.ts: 41ms, application-code: 30ms)
 PATCH /api/records/admin-inbox/inbox-1779291620403 200 in 218ms (next.js: 56ms, proxy.ts: 142ms, application-code: 20ms)
 PATCH /api/records/admin-inbox/inbox-1779291672024 200 in 222ms (next.js: 50ms, proxy.ts: 140ms, application-code: 32ms)
 PATCH /api/records/admin-inbox/inbox-1778777408271 200 in 225ms (next.js: 60ms, proxy.ts: 143ms, application-code: 21ms)
 GET /api/records/admin-inbox 200 in 122ms (next.js: 76ms, proxy.ts: 23ms, application-code: 22ms)
 GET /admin/pesan-masuk 200 in 61ms (next.js: 5ms, proxy.ts: 8ms, application-code: 48ms)
 GET /api/records/system-settings 200 in 131ms (next.js: 59ms, proxy.ts: 45ms, application-code: 27ms)
 GET /api/records/access-permissions 200 in 113ms (next.js: 60ms, proxy.ts: 34ms, application-code: 19ms)
 GET /api/records/admin-inbox 200 in 113ms (next.js: 63ms, proxy.ts: 33ms, application-code: 16ms)
 GET /api/records/activity-log 200 in 199ms (next.js: 75ms, proxy.ts: 31ms, application-code: 93ms)
 GET /api/records/maintenance-mode 200 in 322ms (next.js: 90ms, proxy.ts: 31ms, application-code: 201ms)
 GET /api/records/access-permissions 200 in 201ms (next.js: 117ms, proxy.ts: 45ms, application-code: 40ms)
 GET /api/records/system-settings 200 in 213ms (next.js: 134ms, proxy.ts: 47ms, application-code: 31ms)
 GET /api/records/admin-inbox 200 in 221ms (next.js: 148ms, proxy.ts: 44ms, application-code: 29ms)
 GET /api/records/activity-log 200 in 224ms (next.js: 165ms, proxy.ts: 31ms, application-code: 28ms)
 GET /api/records/access-permissions 200 in 77ms (next.js: 34ms, proxy.ts: 28ms, application-code: 15ms)
 GET /api/records/admin-inbox 200 in 80ms (next.js: 46ms, proxy.ts: 20ms, application-code: 14ms)
 GET /api/records/maintenance-mode 200 in 269ms (next.js: 46ms, proxy.ts: 86ms, application-code: 137ms)
 GET /api/records/access-permissions 200 in 123ms (next.js: 88ms, proxy.ts: 19ms, application-code: 16ms)
 GET /api/records/admin-inbox 200 in 134ms (next.js: 106ms, proxy.ts: 19ms, application-code: 9ms)
 GET /api/records/admin-inbox 200 in 72ms (next.js: 38ms, proxy.ts: 19ms, application-code: 15ms)
 GET /api/records/admin-inbox 200 in 43ms (next.js: 15ms, proxy.ts: 16ms, application-code: 13ms)
 GET /api/auth/me 200 in 51ms (next.js: 12ms, proxy.ts: 21ms, application-code: 18ms)
 GET /api/records/system-settings 200 in 88ms (next.js: 41ms, proxy.ts: 17ms, application-code: 30ms)
 GET /api/records/maintenance-mode 200 in 273ms (next.js: 36ms, proxy.ts: 21ms, application-code: 216ms)
 GET /laporan 200 in 209ms (next.js: 152ms, proxy.ts: 5ms, application-code: 51ms)
 GET /laporan 200 in 64ms (next.js: 5ms, proxy.ts: 11ms, application-code: 49ms)
 GET /api/records/system-settings 200 in 55ms (next.js: 24ms, proxy.ts: 15ms, application-code: 16ms)
 GET /api/records/notifications 200 in 58ms (next.js: 30ms, proxy.ts: 14ms, application-code: 13ms)
 GET /api/records/system-settings 200 in 48ms (next.js: 12ms, proxy.ts: 14ms, application-code: 21ms)
 GET /api/records/notifications 200 in 48ms (next.js: 22ms, proxy.ts: 14ms, application-code: 13ms)
 PATCH /api/records/admin-inbox/inbox-1779291672024 200 in 104ms (next.js: 35ms, proxy.ts: 31ms, application-code: 37ms)
 PATCH /api/records/admin-inbox/inbox-1779291620403 200 in 107ms (next.js: 49ms, proxy.ts: 30ms, application-code: 29ms)
 PATCH /api/records/admin-inbox/inbox-1778777408271 200 in 111ms (next.js: 55ms, proxy.ts: 29ms, application-code: 27ms)
 GET /dashboard 200 in 64ms (next.js: 7ms, proxy.ts: 14ms, application-code: 43ms)
 GET /api/records/contact-social 200 in 388ms (next.js: 114ms, proxy.ts: 242ms, application-code: 32ms)
 GET /api/records/download-center 200 in 424ms (next.js: 109ms, proxy.ts: 157ms, application-code: 158ms)
 GET /api/records/popup-announcements 200 in 519ms (next.js: 88ms, proxy.ts: 183ms, application-code: 247ms)
 GET /api/records/system-settings 200 in 507ms (next.js: 121ms, proxy.ts: 147ms, application-code: 239ms)
 GET /api/records/notifications 200 in 513ms (next.js: 153ms, proxy.ts: 140ms, application-code: 220ms)
 GET /api/records/gallery-content 200 in 778ms (next.js: 175ms, proxy.ts: 137ms, application-code: 466ms)
 GET /api/records/integrated-apps 200 in 496ms (next.js: 196ms, proxy.ts: 189ms, application-code: 111ms)
 GET /api/records/contact-social 200 in 500ms (next.js: 237ms, proxy.ts: 184ms, application-code: 79ms)
 GET /api/records/download-center 200 in 558ms (next.js: 248ms, proxy.ts: 190ms, application-code: 121ms)
 GET /api/records/popup-announcements 200 in 593ms (next.js: 266ms, proxy.ts: 189ms, application-code: 138ms)
 GET /api/records/homepage-content 200 in 1364ms (next.js: 221ms, proxy.ts: 512ms, application-code: 630ms)
 GET /api/records/system-settings 200 in 659ms (next.js: 208ms, proxy.ts: 172ms, application-code: 279ms)
 GET /api/records/notifications 200 in 510ms (next.js: 351ms, proxy.ts: 55ms, application-code: 104ms)
 GET /api/records/integrated-apps 200 in 510ms (next.js: 357ms, proxy.ts: 66ms, application-code: 87ms)
 GET /api/records/contact-social 200 in 524ms (next.js: 162ms, proxy.ts: 329ms, application-code: 33ms)
 GET /api/records/gallery-content 200 in 967ms (next.js: 388ms, proxy.ts: 71ms, application-code: 508ms)
 GET /api/records/system-settings 200 in 463ms (next.js: 406ms, proxy.ts: 45ms, application-code: 12ms)
 GET /api/records/contact-social 200 in 452ms (next.js: 65ms, proxy.ts: 376ms, application-code: 11ms)
 GET /api/records/system-settings 200 in 180ms (next.js: 22ms, proxy.ts: 6ms, application-code: 153ms)
 GET /api/records/homepage-content 200 in 1428ms (next.js: 148ms, proxy.ts: 89ms, application-code: 1190ms)
 GET /api/records/homepage-content 200 in 659ms (next.js: 40ms, proxy.ts: 25ms, application-code: 594ms)
 GET /api/records/homepage-content 200 in 520ms (next.js: 43ms, proxy.ts: 19ms, application-code: 459ms)
 GET /program 200 in 121ms (next.js: 68ms, proxy.ts: 8ms, application-code: 45ms)
 GET /api/records/system-settings 200 in 71ms (next.js: 33ms, proxy.ts: 19ms, application-code: 19ms)
 GET /api/records/notifications 200 in 71ms (next.js: 42ms, proxy.ts: 18ms, application-code: 11ms)
 GET /api/records/system-settings 200 in 89ms (next.js: 24ms, proxy.ts: 35ms, application-code: 30ms)
 GET /api/records/notifications 200 in 102ms (next.js: 39ms, proxy.ts: 38ms, application-code: 25ms)
 GET /informasi 200 in 89ms (next.js: 45ms, proxy.ts: 6ms, application-code: 38ms)
